surname of groom,GROOM_FATHER_IDENTITY,if bride's father deceased,month,marital status of groom,BRIDE_IDENTITY,if bride's mother deceased,GROOM_IDENTITY,bride's mother's forename,year,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,address of groom,groom's father's surname,groom's mother's maiden surname,bride's father's surname,day,if groom's father deceased,surname of bride,gdeath,notes1,address of bride,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY,if groom's mother deceased,BRIDE_FATHER_IDENTITY,age of groom,groom's mother's forename,age of bride,occupation of groom,bride's father's forename,groom's father's occupation,forename of groom,GROOM_FATHER_BIRTH_RECORD_IDENTITY,ID,bride's father's occupation,groom's father's forename,bride's mother's maiden surname,bdeath,forename of bride,GROOM_MOTHER_IDENTITY,place of marriage,BRIDE_BIRTH_RECORD_IDENTITY,occupation of bride,marital status of bride,BRIDE_MOTHER_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY
Rojas,2650,,APcIL,B,3804,,3897,Mathilda,191y,3897,3055,"87 Riverside Park, Highland",Rojas,Markovic,Rivera,24,,Rivera,3897,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Side Road, Highland",3266,,3055,30,Jane5,33,CLERK,J,AG LAB,James,2650,1343,COLOR MIXER,Thomas,Brown,3804,Helen,2698,Aberdeenshire,3804,MASON'S WIFE,S,3266,2698
Williams,4370,,OCTOBER,B,3800,,4381,Grace,1917,4381,2803,"1 George Terrace, St Monans, Fife",Williams,Perez,Szabo,15,,Szabo,4381,SYNTHETIC DATA PRODUCED USING VALIPOP,"49 Whitestripes Path, Bridge of Don, Aberdeen City",3044,,2803,36,Olivia,33,AG LAB,Charles,FARMER,Sebastian,4370,1344,BLACKSMITH,James,Kristiansen,3800,Flora,4371,Bainsford Falkirk,3800, ,S,3044,4371
Li,2680,,JANUARY,B,3786,,3525,Alison,1917,3525,2853,"1 Bail Ur, Highland",Li,DAVISON,Markovic,24,,Markovic,3525,SYNTHETIC DATA PRODUCED USING VALIPOP,"39 Ard Struan Road, Highland",2664,,2853,42,Minnie,33,POST RUNNER CROFTER 4 ACRES,Andrew,CALICO PRINTER,William,2680,1345,TEACHER OF ENGLISH LATIN & MATHEMATICS & INSPECTOR OF POOR,Matteo,White,3786,Isabella,2632,Coplandhill Aberdeenshire,3786,MUSLIN SEWER,S,2664,2632
Hernandez,2935,,SEPTEMBER,B,4004,,3905,Jane,1917,3905,3085,"1 Queen Street, Calton, Campbeltown",Hernandez,Visser,Wozniak,17,,Wozniak,3905,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Leideag, Na h-Eileanan Siar",3268,,3085,32,Whelemina,28,MANUFACTURER,David,CALICO BLOCK PRINTER,William,2935,1346,FLAX YARN BLEACHER (WASHER),Philip,Li,4004,Jane,2910,Aberdeenshire,4004, ,S,3268,2910
Iliev,4301,,FEBRUARY,B,4441,,4304,Aoi,1917,4304,4436,"1 Semple Avenue, Renfrewshire",Iliev,Butkus,Morales,22,,Morales,4304,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Mount Crescent, Dufftown, Moray",4437,,4436,34,Venla,22,PLUMBER,Veeti, ,Patrick,4301,1347,DAIRYMAN,Aleksi,Carvalho,4441,Dorina,4302,Highland,4441,NURSE,S,4437,4302
Sanchez,4105,,FEBRUARY,B,3656,,4109,Fanni,1918,4109,3654,"1 Moray View Court, Moray",Sanchez,Ibrahimovic,Zarins,12,,Zarins,4109,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Carr Crescent, Crail, Fife",3655,,3654,49,Aada,40,LABOURER,Ethan,MEAL DEALER,Elias,4105,1353, ,Mathias,,3656,Alicia,4106,Highland,3656,SAILORS WIDOW,W,3655,4106
Jones,2859,,JULY,B,4152,,3615,Reka,1918,3615,2925,"2183 Main Street, South Ayrshire",Jones,Soto,Paulauskas,5,,Paulauskas,3615,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Morven Crescent, Blackhouse, Peterhead",3009,,2925,39,Maria,23,COLLIERY LABR,James,MASON,David,2859,1354,DAY LABOURER,Matthew,Mohamed,4152,Annie,2778,Scaurs Jedburgh ,4152,SEAMSTRESS,S,3009,2778
Ilves,4272,,JUNE,B,4226,,4285,Eva,1918,4285,3404,"1 Chapel, Fife",Ilves,Castillo,Rodriguez,24,,Rodriguez,4285,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Mallard Road, Aberdeenshire",3659,,3404,19,Hannah,21,SCHOLAR,Walter,WEAVER,William,4272,1355,JOURNEYMAN BLACKSMITH,Ren,Martinez,4226,Catherine,4273,Highland,4226,SILK SEWER,S,3659,4273
Andersson,3602,,JUNE,B,4722,,4293,Emma,1918,4293,4719,"1 Tortorston Drive, Coplandhill, Aberdeenshire",Andersson,Jones,Grigoryan,18,,Grigoryan,4293,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Gourlay Court, St Mary's, Duns",4720,,4719,18,Isabella,20,PUPIL IN HOUSE,Ethan,SPIRIT MERCHANT,John,3602,1356,FARMER GROCER & MARINER,Nathan,Каbaney,4722,Marta,3384,Kilwinning North Ayrshire,4722,WOOL MILL WORKER,S,4720,3384
Grigoryan,4719,,APRIL,B,4924,,4723,Maricel,1918,4723,4919,"1 Gourlay Court, St Mary's, Duns",Grigoryan,Каbaney,White,24,,White,4723,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Wairdlaw, Blackburn, West Lothian",4920,,4919,25,Emma,23,PRIVATE 13TH LIGHT DRAGOONS,David,FARMER GROCER & MARINER,Luca,4719,1357,FARMER OF 3 ACRES,Ethan,Zielinski,4924,Agnieszka,4720,Lodge Scottish Borders,4924, ,S,4920,4720
Prochazka,1555,,DECEMBER,B,2526,,2129,Maja,1857,2129,2524,"42 Ard Struan Road, Highland",Prochazka,DAVISON,Shevchuk,10,,Shevchuk,2129,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Lundavra Crescent, Upper Achintore, Fort William",2525,,2524,32,Elspet,19,POTTER,James,JOURNEYMAN MASON,Peter,1555,808,COAL MINER,Patrick,Popa,2526,Siiri,1580,Aberdeenshire,2526, ,S,2525,1580
Harris,4341,,MAY,B,4222,,4346,Isabella,1918,4346,3602,"46 Marmion Drive, Caskieberran, Fife",Harris,Schulz,Andersson,18,,Andersson,4346,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Tortorston Drive, Coplandhill, Aberdeenshire",3384,,3602,26,Maia,22,TILE MAKER,Nathan,FARMER OF 30 ACRES,Bjarni,4341,1358,SPIRIT MERCHANT,Jack,Jones,4222,Elizabeth,4342,Highland,4222, ,S,3384,4342
Novak,2737,,NOVEMBER,B,4466,,4123,Julia,1918,4123,4141,"2 Glen Gardens, Braeleny Farm, Callander",Novak,Anderson,Demir,4,,Demir,4123,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Rowan Road, Soroba, Oban",3885,,4141,28,Margaret,16,PRIVATE SOLDIER 76TH REGT,Conor,CARTER,James,2737,1359,MINER (IRON),John,Bouchard,4466,Norah,3032,The Roundel Leuchars ,4466, ,S,3885,3032
de Boer,2987,,APRIL,B,4462,,4057,Ann,1918,4057,3803,"1 Ashgrove Avenue, Maybole, South Ayrshire",de Boer,Kristiansen,Wozniak,9,,Wozniak,4057,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Ashgrove Avenue, Maybole, South Ayrshire",3790,,3803,33,Ann,19,FARMER OF 200 ACRES WITH 4 MEN 1 BOY,Robert,AG OVERSEER,James,2987,1360,TYPE FOUNDER,Thomas,Rossi,4462,Margaret,3074,,4462,SCHOLAR,S,3790,3074
Andersson,3602,,DECEMBER,B,4158,,4197,Martha,1919,4197,3477,"1 Tortorston Drive, Coplandhill, Aberdeenshire",Andersson,Jones,Prochazka,15,,Prochazka,4197,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Shore Street, Portsoy, Aberdeenshire",3172,,3477,25,Isabella,26,LABOURER,Liam,SPIRIT MERCHANT,John,3602,1366,GARDNER,Nathan,Rivera,4158,Ann,3384,Highland,4158,FARMER DAUG,S,3172,3384
Garcia,3239,,NOVEMBER,B,4288,,4263,Jane,1919,4263,3205,"2 Weensmoore, Scottish Borders",Garcia,Jimenez,Bonik,14,,Bonik,4263,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Leideag, Na h-Eileanan Siar",3268,,3205,21,Janice,20,CLERK,James,CROFTER,James,3239,1367,CARTER,James,Li,4288,Mary,3927,South Ayrshire,4288, ,S,3268,3927
Harutyunyan,2999,,OCTOBER,B,4296,,4055,Margaret,1919,4055,4148,"123 Lagrannoch Drive, Braeleny Farm, Stirling",Harutyunyan,Greco,Dumitru,10,,Dumitru,4055,SYNTHETIC DATA PRODUCED USING VALIPOP,"3 Weensmoore, Scottish Borders",3534,,4148,27,Ann,20,MASON,Jack,FARMERS SON,Robert,2999,1368,FARMER OF 3 ACRES,Alexander,Rossi,4296,Jane,3030,Rummond Fife,4296,SCHOLAR,S,3534,3030
Krajnc,4471,,JULY,B,4286,,4476,Amy,1919,4476,3008,"1 Lochwood Loan, Croftfoot, Moodiesburn",Krajnc,Kaya,Mohamed,28,,Mohamed,4476,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Benrig Manse, Scottish Borders",3369,,3008,30,Ella,19,ARMER (EMPLOYING 1 MAN 1 BOY 1 WOMAN) OF 132 ACRES,Victor,AGRICULTURAL LABOURER,Jorge,4471,1369,FISHERMAN,Aaron,Nguyen,4286,Sarah,4472,Girvan South Ayrshire,4286,SCHOLAR,S,3369,4472
Dumitru,4148,,OCTOBER,B,4132,,4225,Lizzie,1920,4225,3235,"3 Weensmoore, Scottish Borders",Dumitru,Rossi,Larsson,13,,Larsson,4225,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Nelson Road, Soroba, Oban",3206,,3235,24,Margaret,28,FARMERS SON,Arthur,CARTER,Robert,4148,1373,COALHILL LABOURER,Jack,Brown,4132,Marion,3534,Girvan South Ayrshire,4132, ,S,3206,3534
Kovacevic,2923,,OCTOBER,B,4126,,4063,Ellen,1920,4063,3173,"2 Haddo Crescent, Aberdeenshire",Kovacevic,Kovalchuk,Flores,14,,Flores,4063,SYNTHETIC DATA PRODUCED USING VALIPOP,"120 Rathad na h-Àirigh, Portree, Highland",3114,,3173,27,Annie,24,PLOUGHMAN,James,JUTE WEAVER,James,2923,1374,COTTON WEAVER,John,Garcia,4126,Isabella,3296,Meethill Peterhead ,4126, ,S,3114,3296
Harris,4341,,SEPTEMBER,B,4373,,4345,Olivia,1921,4345,4370,"46 Marmion Drive, Caskieberran, Fife",Harris,Schulz,Williams,27,,Williams,4345,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 George Terrace, St Monans, Fife",4371,,4370,27,Maia,29,RAILWAY LABOURER,James,FARMER OF 30 ACRES,Filip,4341,1384,FARMER OF 80 ACRES,Jack,Perez,4373,Maria,4342,Braeleny Farm Callander ,4373,FARMER DAUR,S,4371,4342
Sanchez,1619,,APRIL,B,2534,,2633,Catarina,1857,2633,2311,"237 The Paddock, East Lothian",Sanchez,Fernandez,Hernandez,22,,Hernandez,2633,SYNTHETIC DATA PRODUCED USING VALIPOP,"237 The Paddock, East Lothian",2312,,2311,16,Mary,20,SCHOLAR,Rasmus,FLESHER,John,1619,809,MECHANIC (DISTILLERY),William,Rivera,2534,Jane,1620,,2534,SCHOLAR,S,2312,1620
Gonzalez,4746,,SEPTEMBER,B,4062,,4748,Isabella,1921,4748,1861,"1 Old Town, Hillpark, Bannockburn",Gonzalez,,HUNTER,23,,HUNTER,4748,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Benview Terrace, Clackmannanshire",3302,,1861,45,Ella,28,PLOUGHMAN,James, ,Julen,4746,1385,LINEN WEAVER,Oliver,Schroeder,4062,Anna,4747,East Lothian,4062,SEWING PRINT WORKS,S,3302,4747
Flores,3173,,JANUARY,B,4180,,4247,Jane,1921,4247,4148,"36 Hill Place, Highland",Flores,Markovic,Dumitru,4,,Dumitru,4247,SYNTHETIC DATA PRODUCED USING VALIPOP,"3 Weensmoore, Scottish Borders",2908,,4148,23,Jane,25,PLOUGHMAN & C,Jack,COTTON WEAVER,Thomas,3173,1387,CARTER,James,Soto,4180,Ann,3500,South Ayrshire,4180,CALICO PRINTFIELD WORKER,S,2908,3500
Anderson,3113,,JANUARY,B,4182,,4089,Laura,1921,4089,3329,"1 Haughead, Scottish Borders",Anderson,White,Mohamed,11,,Mohamed,4089,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Fairways, Abbotsmeadow, Melrose",3545,,3329,26,Ruby,23,PLOUGHMAN,Samuel,FARMER OF 10 ACRES ARRABLE,Robert,3113,1388,PORTER IN GLASS WARE HO,Robert,Hasani,4182,Jane,3332,North Ayrshire,4182,MILLINER,S,3545,3332
Larsson,3321,,DECEMBER,B,4318,,4403,Margaret,1921,4403,4148,"1 Ceann An Ora, Na h-Eileanan Siar",Larsson,Sanchez,Dumitru,22,,Dumitru,4403,SYNTHETIC DATA PRODUCED USING VALIPOP,"3 Weensmoore, Scottish Borders",3534,,4148,18,Marie,21,SCHOLAR,Jack,LABOURER,William,3321,1389,CARTER,James,Rossi,4318,Elizabeth,4107,North Ayrshire,4318, ,S,3534,4107
Andersson,3602,,JUNE,B,4314,,4165,Regina,1921,4165,3816,"1 Tortorston Drive, Coplandhill, Aberdeenshire",Andersson,Jones,Santana,19,,Santana,4165,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Denfield Drive, Cardenden, Fife",3926,,3816,27,Isabella,20,COACH BUILDER,Joshua,SPIRIT MERCHANT,Alexander,3602,1390,AGR LABOURER,Nathan,Jimenez,4314,Elizabeth,3384,Buailledubh Na h-Eileanan Siar,4314, ,S,3926,3384
Szabo,2989,,APRIL,B,4721,,3969,Emma,1922,3969,4719,"253 Golf Course Road, Girvan, South Ayrshire",Szabo,Markovic,Grigoryan,2,,Grigoryan,3969,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Gourlay Court, St Mary's, Duns",4720,,4719,34,Isabella,21,FISHERMAN,Ethan,PAINTER (JOURNEYMAN),Alfred,2989,1394,FARMER GROCER & MARINER,Willia,Каbaney,4721,Manon,3072,Annan Dumfries and Galloway,4721,GENL SERVANT,S,4720,3072
Visser,3103,,MARCH,B,4420,,4195,Isabella,1922,4195,3602,"1 Weensmoore, Scottish Borders",Visser,Zhu,Andersson,16,,Andersson,4195,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Tortorston Drive, Coplandhill, Aberdeenshire",3384,,3602,27,Julie,18,PLOUGHMAN,Nathan,FURNACE KEEPER,James,3103,1395,SPIRIT MERCHANT,Hugh,Jones,4420,Margaret,3627,Girvan South Ayrshire,4420,SCHOLAR,S,3384,3627
Soto,3047,,SEPTEMBER,B,4196,,4311,Catherine,1923,4311,3143,"1 Burial Brae, Anstruther Easter, Anstruther",Soto,Mohamed,Jones,22,,Jones,4311,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Burial Brae, Anstruther Easter, Anstruther",3346,,3143,26,Jeannie,31,COAL MINER,Kenneth,GAMEKEEPER,George,3047,1399,BOOKSELLER WAREHOUSMAN,Thomas,Maisuradze,4196,Annie,3162,,4196,VISITOR,S,3346,3162
Prochazka,3087,,DECEMBER,B,4192,,4185,Jessie,1923,4185,4077,"1 Salisbury Terrace, Broomhill, Aberdeen City",Prochazka,Rodriguez,Varga,31,,Varga,4185,SYNTHETIC DATA PRODUCED USING VALIPOP,"12 Bank Street, Greenlaw Station House, Greenlaw",3232,,4077,28,Isabella,28,RAILWAY LAB,Jeffrey,HEDDLER & MOUNTER,Archibald,3087,1400,COOPER,Charles,Flores,4192,Margaret,3084,North Ayrshire,4192, ,S,3232,3084
WILLIAMS,3109,,AUGUST,B,4264,,4245,Isabella,1923,4245,3602,"1 Ailsa Place, Girvan, South Ayrshire",WILLIAMS,Jimenez,Andersson,12,,Andersson,4245,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Tortorston Drive, Coplandhill, Aberdeenshire",3384,,3602,25,Alice,24,BLACK SMITH,Nathan,COTTON WEAVER (JOUR),Adam,3109,1401,SPIRIT MERCHANT,John,Jones,4264,Isabella,3924,Highland,4264,DOMESTIC SERVANT,S,3384,3924
Paulauskas,2369,,MARCH,B,2232,,2371,Christina,1858,2371,1634,"61 Wester Common Road, Hamiltonhill, Glasgow City",Paulauskas,Perez,Rivera,4,,Rivera,2371,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Millfield Road, Dumfries and Galloway",1600,,1634,24,Sophie,28,COAL MINER,Ethan, ,Isak,2369,812,OSTLER,Benjamin,GOODWIN,2232,Mary,2370,Dumfries and Galloway,2232,DOMESTIC SERVANT,S,1600,2370
Kobayashi,4145,,DECEMBER,B,4334,,4365,Isabella,1923,4365,3413,"2 Henderson Road, Troon, South Ayrshire",Kobayashi,Sepp,Bonik,21,,Bonik,4365,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Meadow Park, Dumfries and Galloway",3412,,3413,19,Christina,21,FARMER'S SON,Alexr,TURNER,John,4145,1402,JOINER,Lukas,Rojas,4334,Helen,3714,Braehouse Scottish Borders,4334,DOMESTIC SERVANT,S,3412,3714
Bonik,3413,,NOVEMBER,B,4330,,4265,Isabella,1923,4265,4007,"1 Meadow Park, Dumfries and Galloway",Bonik,Rojas,Santos,1,,Santos,4265,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Benview Terrace, Clackmannanshire",3302,,4007,25,Isabella,22,TAILOR,Davide,JOINER,James,3413,1403,SHEPHARD,Alexr,Schroeder,4330,Janet,3412,Carngour St Andrews ,4330,HOUSEKEEPER,S,3302,3412
Andersson,3602,,MAY,B,4327,,4221,Margaret,1923,4221,2737,"1 Tortorston Drive, Coplandhill, Aberdeenshire",Andersson,Jones,Novak,13,,Novak,4221,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Glen Gardens, Braeleny Farm, Callander",3032,,2737,26,Isabella,21,IRON MINER,John,SPIRIT MERCHANT,William,3602,1404,CARTER,Nathan,Anderson,4327,Elizabeth,3384,Soroba Oban ,4327,DOMESTIC SERV,S,3032,3384
Schroeder,3501,,DECEMBER,B,4496,,4339,Catherine,1923,4339,3053,"61 The Gardens, East Lothian",Schroeder,Jones,Visser,9,,Visser,4339,SYNTHETIC DATA PRODUCED USING VALIPOP,"122 Kirkhill, Dumfries and Galloway",3616,,3053,21,Elizabeth,16,TAILOR JOURNEYMAN,James,THREAD LAPPER LINEN,William,3501,1405,SHOP PORTER,Donald,Jones,4496,Margaret,3590,Maybole South Ayrshire,4496,SCHOLAR,S,3616,3590
Bonik,3357,,MARCH,B,4500,,4331,Regina,1923,4331,3595,"1 Millbank Road, Stranraer, Dumfries and Galloway",Bonik,Sanchez,Soto,8,,Soto,4331,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Millhill Road, Perth and Kinross",4379,,3595,21,Agnes,16,MESSAGE PORTER,John,MINISTER OF HOLY TOWN ESTABLISHED CHURCH,Archd,3357,1406,BLACKSMITH,Wm,Williams,4500,Barbara,3388,Fife,4500,SCHOLAR,S,4379,3388
Garcia,3514,,JANUARY,B,3750,,4189,Amy,1924,4189,2959,"2 Plainfield Terrace, Monksford House, Scottish Borders",Garcia,CONLLY,Watanabe,3,,Watanabe,4189,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Dalmilling, South Ayrshire",3398,,2959,27,Ann,40,LAWYERS GENERAL CLERK,Lachlan,LABOURER,David,3514,1414,AG LAB,Jose,Liepins,3750,Isabella,3176,Lessudden House Scottish Borders,3750, ,W,3398,3176
Ilves,4272,,OCTOBER,B,4240,,4275,Jeannie,1924,4275,3047,"1 Chapel, Fife",Ilves,Castillo,Soto,27,,Soto,4275,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Cowden Road, Perth and Kinross",3162,,3047,31,Hannah,27,IRON MINER,Thomas,COOPER,Aidan,4272,1415,GAMEKEEPER,Ren,Mohamed,4240,Elizabeth,4273,South Broomage Stenhousemuir ,4240,DAIRY MAID,S,3162,4273
Kiss,3548,,JANUARY,B,4338,,4241,Emma,1924,4241,3265,"1 Roseberry Drive, Coplandhill, Aberdeenshire",Kiss,Soto,Bonik,8,,Bonik,4241,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Brae, Highland",4108,,3265,26,Margaret,22,SHOEMAKER,James,CARTER,James,3548,1416,DOMESTIC SERVANT,Aidan,Sanchez,4338,Margaret,3168,Highland,4338,FACTORY WINDER,S,4108,3168
Muratovic,5107,,MARCH,B,4340,,5111,Caroline,1924,5111,3810,"1 Whitfield, Dundee City",Muratovic,,Hansen,26,,Hansen,5111,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Caltrop Place, Hillpark, Bannockburn",3620,,3810,33,Camille,22, ,Lorenzo, ,Bence,5107,1417,CATTLE DEALER,Cameron,Greco,4340,Christina,5110,Aberfeldy Perth and Kinross,4340, ,S,3620,5110
Harris,4341,,NOVEMBER,B,4582,,4357,Leah,1924,4357,4579,"46 Marmion Drive, Caskieberran, Fife",Harris,Schulz,Tran,11,,Tran,4357,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Braehouse, Scottish Borders",4580,,4579,22,Maia,22,FISHERMAN,Tamas,AGRICULTURAL LAB,Edward,4341,1418,ENGINE FILLER,Jack,Varga,4582,Lea,4342,Braeleny Farm Callander ,4582,DOM SERV,S,4580,4342
Jones,2857,,JULY,B,2308,,2863,Ann,1858,2863,1633,"1 Whistleberry Wynd, Whitehill, Bothwell",Jones,Mayer,Rivera,3,,Rivera,2863,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Oliver Wynd, Kirkton, Angus",1602,,1633,24,Sara,25,COAL MINER,Ryan, ,Samuel,2857,813,AG LAB,Piotr,Bolkvadze,2308,Alice,2858,Southfield Scottish Borders,2308,TENANT'S DAUGHTER,S,1602,2858
Greco,2745,,FEBRUARY,B,4396,,4447,Jane,1925,4447,3368,"253 Golf Course Road, Girvan, South Ayrshire",Greco,Markovic,Nguyen,28,,Nguyen,4447,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Edderston Ridge, Kingsmuir, Peebles",3508,,3368,19,Isabella,21,SON,Patrick,PLOUGHMAN,Archibald,2745,1424,TENNANT,James,Sepp,4396,Jessie,3072,Troon South Ayrshire,4396,FARMER'S WIFE,S,3508,3072
Paulauskas,2925,,24,B,4791,,3621,Emma,1925,3621,4787,"1 Morven Crescent, Blackjouse, Peterhead",Paulauskas,Mohamed,Wozniak,SEPTEMBER,,Wozniak,3621,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Langholm View, East Ayrshire",4788,,4787,48,Reka,2?,TEACHER,Roberdo,DAY LABOURER,James,2925,1425, ,James,Schroeder,4791,Ana,3009,Buailledubh Na h-Eileanan Siar,4791,GENERAL SERV,S,4788,3009
Markovic,4751,,DECEMBER,B,4492,,4757,Emma,1925,4757,3265,"1 Broom Road, Inverclyde",Markovic,Abdullayev,Bonik,8,,Bonik,4757,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Brae, Highland",4108,,3265,22,Ana,20,COMMISSION AGENTS CLERK,James,GARDENER,Emre,4751,1426,DOMESTIC SERVANT,Ren,Sanchez,4492,Catherine,4752,Fife,4492,BONNET MAKER,S,4108,4752
W?zniak,4787,,NOVEMBER,B,4689,,4792,Michela,1925,4792,4684,"1 Langholm View, East Ayrshire",Wozniak,Schroeder,Thomas,22,,Smith,4792,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Coaggan, Highland",4685,D,4684,22,Emma,19,MACHINE MEKER (JOUY),Smith, ,Mikel,4787,1427,WRIGHT,Roberto,Saar,4689,Laura,4788,Wilton Dean Scottish Borders,4689,SCHOLAR,S,4685,4788
White,4919,,JULY,B,4498,,4922,Eva,1925,4922,3845,"1 Wairdlaw, Blackburn, West Lothian",White,Zielinski,Larsson,24,,Larsson,4922,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Mallard Road, Aberdeenshire",3659,,3845,23,Maricel,19,AGR LB,David,FARMER OF 3 ACRES,Luke,4919,1428,CARTER,David,Martinez,4498,Mary,4920,Highland,4498, ,S,3659,4920
Markovic,3303,,JULY,B,3882,,4135,Martha,1926,4135,3477,"2 Braehouse, Scottish Borders",Markovic,Harutyunyan,Prochazka,8,,Prochazka,4135,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Shore Street, Portsoy, Aberdeenshire",3172,,3477,32,Annie,40,FARMER'S SON,Liam,BOOK & STATIONERY AGENT,William,3303,1435,GARDNER,Hugh,Rivera,3882,Margaret,3324,South Ayrshire,3882, ,S,3172,3324
Mohamed,3008,,JANUARY,B,3874,,4093,Mary,1926,4093,3003,"2 Benrig Manse, Scottish Borders",Mohamed,Nguyen,Larsson,12,,Larsson,4093,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Modley Court, Ellon, Aberdeenshire",2940,,3003,34,Amy,42,GROCER,John,FISHERMAN,Geo,3008,1436,GENERAL LAB,Victor,Sanchez,3874,Isabella,3369,Troon South Ayrshire,3874,DRESS MAKER,S,2940,3369
Petrauskas,3210,,MAY,B,3872,,4021,Isabella,1926,4021,2671,"1 Demondale Place, Warddykes, Arbroath",Petrauskas,Perera,Szabo,3,,Szabo,4021,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 St Clair Terrace, Troon, South Ayrshire",3278,,2671,37,Ivana,41,CLERK (RAILWAY),Thomas,FAR & FISHERM RENT $ 6 0 0,Donald,3210,1437,FARMER OF 62 ACRES EMPLOYING 3 MEN AND 1 WOMAN,Joshua,Rossi,3872,Jeanie,3061,Plantation Highland,3872,GARDENER'S WIFE,S,3278,3061
Visser,3111,,JANUARY,B,5118,,4289,Alice,1926,4289,5116,"1590 Castle Road, South Ayrshire",Visser,Brown,Johnson,15,,Johnson,4289,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Langton Crescent, Calderwood, East Calder",5117,,5116,25,Jane,33,MILLER'S SON,Ryan, ,Alexr,3111,1438,WORSTED DAUR,Edward,Wozniak,5118,Chiara,3300,Baillieston Glasgow City,5118, ,S,5117,3300
Moreau,4609,,FEBRUARY,B,4052,,4611,Jean,1926,4611,3045,"1 Harbour Road, Tayport, Fife",Moreau,Perez,Mohamed,4,,Mohamed,4611,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Londubh Road, Highland",3004,,3045,38,Lena,34,POWDER MAKER,John,FARMER OF 100 AC EMPLOYING TWO LAB,Pedro,4609,1439,BRICK MAKER,Aaron,Rodriguez,4052,Jemima,4610,Buckie Moray,4052, ,S,3004,4610
WILLIAMS,1441,,SEPTEMBER,B,2464,,2127,Mia,1858,2127,2461,"2183 Main Street, South Ayrshire",WILLIAMS,Popa,Brown,4,,Brown,2127,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Golf Course Road, Girvan, South Ayrshire",2462,,2461,33,Annie,25,COTTAR,Sergio,GROCER EMPLG 2 F & 1 M SERTS,George,1441,814,FISHERMAN,John,Bonik,2464,Marie,1508,Scottish Borders,2464, ,W,2462,1508
Kovacevic,2923,,MAY,B,4242,,4033,Martha,1926,4033,3477,"2 Haddo Crescent, Aberdeenshire",Kovacevic,Kovalchuk,Prochazka,15,,Prochazka,4033,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Shore Street, Portsoy, Aberdeenshire",3172,,3477,34,Annie,27,RAILWAY LABOURER,Liam,JUTE WEAVER,Alexr,2923,1440,GARDNER,John,Rivera,4242,Margaret,3296,Buailledubh Na h-Eileanan Siar,4242,HOUSE KEEPER,S,3172,3296
